ISO_3,STATUS,id,name,showname,dy,dx
 ,Adm. by EGY,0,Ma'tan al-Sarra,,,
 ,Adm. by KEN,0,Ilemi Triangle,,,
 ,Adm. by SDN,0,Hala'ib Triangle,,,
 ,Occupied Territory,265,West Bank,,,
 ,Occupied Territory (under review),88,Gaza Strip,,,
 ,PT Territory,147,Madeira Islands,,,
 ,Sovereignty unsettled,0,Arunachal Pradesh,,,
 ,Sovereignty unsettled,132,Kuril islands,,,
XXX,Sovereignty unsettled,190,Paracel Islands,,,
 ,Sovereignty unsettled,227,Spratly Islands,,,
 ,Sovereignty unsettled,0,Jammu and Kashmir,,,
 ,Sovereignty unsettled JammuK-China,0,Aksai Chin,,,
 ,UK Territory,101,Guernsey,,,
 ,UK Territory,124,Jersey,,,
 ,UK Territory,225,South Georgia and the South Sandwich Islands,,,
 ,US Territory,99,Guantanamo,,,
 ,US Territory,123,Jarvis Island,,,
 ,US Territory,160,Midway Island,,,
ABW,NL Territory,12,Aruba,,,
AFG,Member State,1,Afghanistan,Afghanistan,-20,0
AGO,Member State,6,Angola,Angola,0,0
AIA,UK Non-Self-Governing Territory,7,Anguilla,,,
ALB,Member State,2,Albania,,,
AND,Member State,5,Andorra,,,
ARE,Member State,254,United Arab Emirates,,,
ARG,Member State,10,Argentina,Argentina,0,0
BVT,NO Territory,34,Bouvet Island,,,
ANT,NL Territory,174,Netherlands Antilles,,,
ITA,Member State,120,Italy,,,
ARM,Member State,11,Armenia,,,
ASM,US Non-Self-Governing Territory,4,American Samoa,,,
ATA, ,8,Antarctica,,,
ATF,FR Territory,85,French Southern and Antarctic Territories,,,
ATG,Member State,9,Antigua and Barbuda,,,
AUS,Member State,14,Australia,,,
AUT,Member State,15,Austria,,,
AZE,Member State,16,Azerbaijan,Azerbaijan,12,7
BDI,Member State,41,Burundi,Burundi,0,40
BEL,Member State,25,Belgium,,,
BEN,Member State,27,Benin,,,
BFA,Member State,40,Burkina Faso,Burkina Faso,0,0
BGD,Member State,21,Bangladesh,Bangladesh,25,0
BGR,Member State,39,Bulgaria,,,
BHR,Member State,19,Bahrain,Bahrain,0,0
BHS,Member State,18,Bahamas,,,
BIH,Member State,32,Bosnia and Herzegovina,Bosnia and Herzegovina,0,0
BLR,Member State,24,Belarus,Belarus,0,0
BLZ,Member State,26,Belize,,,
BMU,UK Non-Self-Governing Territory,28,Bermuda,,,
BOL,Member State,31,Bolivia,Bolivia,0,0
BRA,Member State,35,Brazil,Brazil,0,50
BRB,Member State,22,Barbados,,,
BRN,Member State,38,Brunei Darussalam,,,
BTN,Member State,29,Bhutan,,,
BWA,Member State,33,Botswana,,,
CAF,Member State,47,Central African Republic,Central African Republic,0,0
CAN,Member State,44,Canada,Canada,0,0
CCK,AU Territory,53,Cocos (Keeling) Islands,,,
CHE,Member State,234,Switzerland,,,
CHL,Member State,49,Chile,,,
CHN,Member State,50,China,China,0,0
CIV,Member State,59,C̫te d'Ivoire,Ivory Coast,,
